,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp_celsius,windspeed_kh,atemp,hum,casual,registered,cs_ratio,cnt,season_cat,cnt_cat
0,1,01/01/2011,1,0,1,0,6,0,2,14.110847,10.749882,0.363625,80.5833,331,654,0.5061162079510704,985,Winter,Uso bajo
1,2,02/01/2011,1,0,1,0,0,0,2,14.902598,16.652113,0.353739,69.6087,131,670,0.19552238805970149,801,Winter,Uso bajo
2,3,03/01/2011,1,0,1,0,1,1,1,8.050924,16.636703,0.189405,43.7273,120,1229,0.09764035801464606,1349,Winter,Uso bajo
3,4,04/01/2011,1,0,1,0,2,1,1,8.2,10.739832,0.212122,59.0435,108,1454,0.07427785419532325,1562,Winter,Uso bajo
4,5,05/01/2011,1,0,1,0,3,1,1,9.305237,12.5223,0.22927,43.6957,82,1518,0.05401844532279315,1600,Winter,Uso bajo
5,6,06/01/2011,1,0,1,0,4,1,1,8.378268,6.0008684,0.233209,51.8261,88,1518,0.057971014492753624,1606,Winter,Uso bajo
6,7,07/01/2011,1,0,1,0,5,1,2,8.057402,11.304642,0.208839,49.8696,148,1362,0.10866372980910426,1510,Winter,Uso bajo
7,8,08/01/2011,1,0,1,0,6,0,2,6.765,17.875868,0.162254,53.5833,68,891,0.07631874298540965,959,Winter,Uso bajo
8,9,09/01/2011,1,0,1,0,0,0,1,5.671653,24.25065,0.116175,43.4167,54,768,0.0703125,822,Winter,Uso bajo
9,10,10/01/2011,1,0,1,0,1,1,1,6.184153,14.958889,0.150888,48.2917,41,1280,0.03203125,1321,Winter,Uso bajo
10,11,11/01/2011,1,0,1,0,2,1,2,6.932731,8.182844,0.191464,68.6364,43,1220,0.03524590163934426,1263,Winter,Uso bajo
11,12,12/01/2011,1,0,1,0,3,1,1,7.081807,20.410009,0.160473,59.9545,25,1137,0.02198768689533861,1162,Winter,Uso bajo
12,13,13/01/2011,1,0,1,0,4,1,1,6.765,20.167,0.150883,47.0417,38,1368,0.027777777777777776,1406,Winter,Uso bajo
13,14,14/01/2011,1,0,1,0,5,1,1,6.59567,8.478716,0.188413,53.7826,54,1367,0.03950256035113387,1421,Winter,Uso bajo
14,15,15/01/2011,1,0,1,0,6,0,2,9.566653,10.583521,0.248112,49.875,222,1026,0.21637426900584794,1248,Winter,Uso bajo
15,16,16/01/2011,1,0,1,0,0,0,1,9.498347,12.625011,0.234217,48.375,251,953,0.2633788037775446,1204,Winter,Uso bajo
16,17,17/01/2011,1,0,1,1,1,0,2,7.209153,12.999139,0.176771,53.75,117,883,0.13250283125707815,1000,Winter,Uso bajo
17,18,18/01/2011,1,0,1,0,2,1,2,8.883347,9.833925,0.232333,86.1667,9,674,0.013353115727002967,683,Winter,Uso bajo
18,19,19/01/2011,1,0,1,0,3,1,2,11.979134,13.957239,0.298422,74.1739,78,1572,0.04961832061068702,1650,Winter,Uso bajo
19,20,20/01/2011,1,0,1,0,4,1,2,10.728347,13.125568,0.25505,53.8333,83,1844,0.045010845986984814,1927,Winter,Uso bajo
20,21,21/01/2011,1,0,1,0,5,1,1,7.2775,23.667214,0.157833,45.7083,75,1468,0.05108991825613079,1543,Winter,Uso bajo
21,22,22/01/2011,1,0,1,0,6,0,1,2.4243464,11.52199,0.0790696,40.0,93,888,0.10472972972972973,981,Winter,Uso bajo
22,23,23/01/2011,1,0,1,0,0,0,1,3.9573897,16.5222,0.0988391,43.6522,150,836,0.17942583732057416,986,Winter,Uso bajo
23,24,24/01/2011,1,0,1,0,1,1,1,3.9930433,10.60811,0.11793,49.1739,86,1330,0.06466165413533835,1416,Winter,Uso bajo
24,25,25/01/2011,1,0,1,0,2,1,2,9.162598,8.696332,0.234526,61.6957,186,1799,0.10339077265147303,1985,Winter,Uso bajo
25,26,26/01/2011,1,0,1,0,3,1,3,8.9175,19.68795,0.2036,86.25,34,472,0.07203389830508475,506,Winter,Uso bajo
26,27,27/01/2011,1,0,1,0,4,1,1,7.995,7.627079,0.2197,68.75,15,416,0.036057692307692304,431,Winter,Uso bajo
27,28,28/01/2011,1,0,1,0,5,1,2,8.342598,8.2611,0.223317,79.3043,38,1129,0.03365810451727192,1167,Winter,Uso bajo
28,29,29/01/2011,1,0,1,0,6,0,1,8.057402,9.739455,0.212126,65.1739,123,975,0.12615384615384614,1098,Winter,Uso bajo
29,30,30/01/2011,1,0,1,0,0,0,1,8.877402,4.9568342,0.250322,72.2174,140,956,0.14644351464435146,1096,Winter,Uso bajo
30,31,31/01/2011,1,0,1,0,1,1,2,7.414153,12.541864,0.18625,60.375,42,1459,0.02878684030157642,1501,Winter,Uso bajo
31,32,01/02/2011,1,0,2,0,2,1,2,7.879134,3.565271,0.23453,82.9565,47,1313,0.0357958872810358,1360,Winter,Uso bajo
32,33,02/02/2011,1,0,2,0,3,1,2,10.66,17.708636,0.254417,77.5417,72,1454,0.04951856946354883,1526,Winter,Uso bajo
33,34,03/02/2011,1,0,2,0,4,1,1,7.665237,18.609384,0.177878,43.7826,61,1489,0.0409670920080591,1550,Winter,Uso bajo
34,35,04/02/2011,1,0,2,0,5,1,2,8.663464,8.565213,0.228587,58.5217,88,1620,0.05432098765432099,1708,Winter,Uso bajo
35,36,05/02/2011,1,0,2,0,6,0,2,9.566653,10.792293,0.243058,92.9167,100,905,0.11049723756906077,1005,Winter,Uso bajo
36,37,06/02/2011,1,0,2,0,0,0,1,11.719153,9.5006,0.291671,56.8333,354,1269,0.2789598108747045,1623,Winter,Uso bajo
37,38,07/02/2011,1,0,2,0,1,1,1,11.138347,3.0423561,0.303658,73.8333,120,1592,0.07537688442211055,1712,Winter,Uso bajo
38,39,08/02/2011,1,0,2,0,2,1,1,9.054153,24.25065,0.198246,53.7917,64,1466,0.04365620736698499,1530,Winter,Uso bajo
39,40,09/02/2011,1,0,2,0,3,1,2,5.526103,12.652213,0.144283,49.4783,53,1552,0.03414948453608247,1605,Winter,Uso bajo
40,41,10/02/2011,1,0,2,0,4,1,1,5.918268,14.869645,0.149548,43.7391,47,1491,0.031522468142186455,1538,Winter,Uso bajo
41,42,11/02/2011,1,0,2,0,5,1,1,7.752731,7.27285,0.213509,50.6364,149,1597,0.09329993738259236,1746,Winter,Uso bajo
42,43,12/02/2011,1,0,2,0,6,0,1,9.1225,13.625589,0.232954,54.4167,288,1184,0.24324324324324326,1472,Winter,Uso bajo
43,44,13/02/2011,1,0,2,0,0,0,1,12.977402,17.479161,0.324113,45.7391,397,1192,0.33305369127516776,1589,Winter,Uso bajo
44,45,14/02/2011,1,0,2,0,1,1,1,17.015,27.999836,0.39835,37.5833,208,1705,0.1219941348973607,1913,Winter,Uso bajo
45,46,15/02/2011,1,0,2,0,2,1,1,10.909567,19.522058,0.254274,31.4348,140,1675,0.08358208955223881,1815,Winter,Uso bajo
46,47,16/02/2011,1,0,2,0,3,1,1,13.048701,16.869997,0.3162,42.3478,218,1897,0.11491829204006326,2115,Winter,Uso bajo
47,48,17/02/2011,1,0,2,0,4,1,1,17.869153,15.416968,0.428658,50.5,259,2216,0.11687725631768953,2475,Winter,Uso bajo
48,49,18/02/2011,1,0,2,0,5,1,1,21.388347,17.749975,0.511983,51.6667,579,2348,0.24659284497444633,2927,Winter,Uso medio
49,50,19/02/2011,1,0,2,0,6,0,1,16.365847,34.000021,0.391404,18.7917,532,1103,0.4823209428830462,1635,Winter,Uso bajo
50,51,20/02/2011,1,0,2,0,0,0,1,11.693897,14.956745,0.27733,40.7826,639,1173,0.5447570332480819,1812,Winter,Uso bajo
51,52,21/02/2011,1,0,2,1,1,0,2,12.436653,20.625682,0.284075,60.5,195,912,0.2138157894736842,1107,Winter,Uso bajo
52,53,22/02/2011,1,0,2,0,2,1,1,7.471102,13.110761,0.186033,57.7778,74,1376,0.05377906976744186,1450,Winter,Uso bajo
53,54,23/02/2011,1,0,2,0,3,1,1,9.091299,6.305571,0.245717,42.3043,139,1778,0.078177727784027,1917,Winter,Uso bajo
54,55,24/02/2011,1,0,2,0,4,1,2,12.121732,16.783232,0.289191,69.7391,100,1707,0.05858230814294083,1807,Winter,Uso bajo
55,56,25/02/2011,1,0,2,0,5,1,2,14.938268,23.218113,0.350461,71.2174,120,1341,0.0894854586129754,1461,Winter,Uso bajo
56,57,26/02/2011,1,0,2,0,6,0,1,11.5825,12.500257,0.282192,53.7917,424,1545,0.2744336569579288,1969,Winter,Uso bajo
57,58,27/02/2011,1,0,2,0,0,0,1,14.082598,8.391616,0.351109,68.0,694,1708,0.4063231850117096,2402,Winter,Uso bajo
